Reference,Track_1,Track_2,Track_3,Track_4,Characteristic_1,Fluid_Fraction
216.6615142,561.8466,84.884451,1.5366351,16.7399,0.093359672,0.042590032
216.5025237,558.706224,88.596469,1.38319089,16.74721,0.092436592,0.042285915
216.3435331,553.657207,95.754421,1.54703723,16.74721,0.090930712,0.042203935
216.1842271,568.18437,100.570249,1.65561266,16.99575,0.095191544,0.039533044
216.0252366,583.821922,104.431391,1.63094141,16.77645,0.09954036,0.037630745
215.8659306,589.600477,116.133239,1.60291487,16.69604,0.101089104,0.037423485
215.7066246,580.052886,126.386976,1.48694903,16.68873,0.098513504,0.040101345
215.5466877,562.078327,138.622454,1.32074887,16.65949,0.093426976,0.044488651
215.3864353,522.491022,135.243041,1.14647847,17.09809,0.080990776,0.054048611
215.226183,485.100372,132.993023,1.00853146,17.81447,0.06738108,0.068811058
215.0646688,499.878999,123.972483,0.99570241,17.75599,0.058375504,0.084320487
214.90347,520.931799,120.455642,1.14472407,17.16388,0.0724646,0.065517995
214.7416404,592.049327,110.270619,1.3893386,16.69604,0.086415704,0.052866437
214.5794953,619.646039,99.089243,1.63673824,16.54253,0.094440296,0.046939519
214.4170347,620.23888,93.69227,1.7540345,16.49867,0.097627272,0.044235428
214.2548896,614.36895,96.401356,1.67943595,16.4475,0.097120424,0.043681691
214.092429,589.311001,105.225988,1.43309626,16.55715,0.089953112,0.047241914
213.9315457,553.470071,113.375907,1.16623009,16.9592,0.07671152,0.056851986
213.7722397,508.097632,118.780921,1.00369224,17.47821,0.063615064,0.071362698
213.6129338,476.525011,121.186642,0.95940826,17.77792,0.057188472,0.081853254
213.4574132,477.18218,116.920526,0.99155764,17.70482,0.06422644,0.071308828
213.3022082,500.924329,115.584258,1.08939468,17.41242,0.073390312,0.060759547
213.1473186,538.972879,103.818082,1.23468093,17.1054,0.086391264,0.049630064
212.9927445,559.842929,92.198837,1.36927996,16.92265,0.09277236,0.045431304
212.8381703,568.19899,93.206155,1.44236534,16.92996,0.095195304,0.044065752
212.6820189,587.767129,97.614085,1.42942664,17.05423,0.100601056,0.041125039
212.5255521,591.28397,104.497181,1.35419943,17.15657,0.101534288,0.04057232
212.3684543,591.06467,95.174007,1.30332183,17.22967,0.101476384,0.040232498
212.2100946,588.53541,91.906437,1.2819547,17.41973,0.1008056,0.040027038
212.0520505,582.70934,91.285818,1.2647762,17.77792,0.099238432,0.040391055
211.892429,579.69031,88.912992,1.28318278,18.11418,0.098413864,0.040637465
211.7321767,577.21222,84.911498,1.34681633,18.07763,0.097730672,0.041027947
211.5719243,574.79992,75.135835,1.35588073,17.37587,0.097059888,0.041613631
211.4104101,575.23852,67.7700597,1.27650875,16.33785,0.097182464,0.041573698
211.2492114,581.61284,65.3769119,1.22548495,15.67264,0.098939888,0.040624624
211.0886435,586.89066,66.777581,1.22834316,15.74574,0.100366432,0.039774834
210.9293375,589.52957,62.7271831,1.2093664,15.8627,0.101070304,0.039336902
210.7700315,595.46529,62.1002044,1.2066617,16.24282,0.102629952,0.038502772
210.6116719,598.1042,70.969135,1.27607746,16.45481,0.10331352,0.038137973
