Reference,Track_1,Track_2,Track_3,Track_4,Characteristic_1
101.9413249,375.533706,54.9882323,0.260320065,20.5547697,0.018835231
101.8328076,378.626567,59.7330071,0.390856928,20.1684362,0.026940663
101.7195584,383.144878,66.5193918,0.41083662,20.3750168,0.025029718
101.6113565,389.511888,73.306142,0.430815581,20.5815974,0.023131332
101.4596215,397.513414,66.1078388,0.313340957,20.6988498,0.017787131
101.2927445,408.148733,58.909828,0.195866333,20.8161022,0.011840127
101.1681388,421.459512,67.2893541,0.236002619,20.3009665,0.017333111
101.0138801,435.747638,75.668734,0.276138905,19.7858308,0.022979014
100.8492114,449.757253,85.458286,0.44921412,18.9396252,0.037385793
100.7239748,461.866999,95.247838,0.622289335,18.0934196,0.051674432
100.5968454,471.65582,91.193712,0.94741986,17.5735324,0.064586272
100.4681388,478.741403,87.139586,1.27254673,17.0537183,0.076120824
100.3160883,482.125202,82.785019,1.33366564,17.0914379,0.076607744
100.155836,482.364239,78.429721,1.39478455,17.1291575,0.077181144
99.92744479,481.156627,85.51238,1.21552142,17.5757254,0.06905616
99.68927445,479.369332,92.594308,1.03625098,18.0223664,0.058242776
99.51798107,478.623712,102.503744,0.74344893,18.5841399,0.0441236
99.35015773,480.53747,112.413911,0.450647611,19.1459134,0.02973126
99.20504732,485.492188,119.126684,0.477277941,18.8423291,0.034916638
99.05899054,493.569738,125.838726,0.503908271,18.5386717,0.040040992
98.91009464,504.213098,133.563203,0.78329574,18.0414455,0.053281832
98.77255521,516.75121,141.28768,1.06269125,17.5442193,0.067499896
98.65299685,530.317108,122.246592,1.36205037,17.3461183,0.078066248
98.53312303,543.912977,103.205504,1.6614168,17.1480173,0.088262616
98.39495268,555.920383,99.848752,1.66718439,17.0583236,0.089841816
98.24258675,566.42997,96.492731,1.67295198,16.9686299,0.09155976
98.08990536,575.357673,106.476729,1.69023282,16.7972835,0.093873288
97.93028391,582.391355,116.460727,1.70751366,16.6259371,0.096343984
97.76845426,588.202074,104.404344,1.75910033,16.5745478,0.099431696
97.60662461,592.233539,92.347961,1.81069431,16.5230854,0.102395328
97.38391167,595.483565,88.328192,1.88380893,16.5273983,0.103638384
97.1555205,597.890017,84.308423,1.95693086,16.5316381,0.105119448
96.93438486,599.363713,86.552593,1.95595132,16.4775441,0.106172248
96.7829653,599.843249,88.796032,1.95496447,16.4235232,0.10707352
96.63123028,599.641493,92.539483,1.9206294,16.3695023,0.106168488
96.48454259,598.683152,96.282203,1.88628702,16.3154814,0.10533264
96.35047319,597.524517,100.107526,1.87315826,16.2857297,0.104681784
96.21671924,596.19629,103.932118,1.8600295,16.2559049,0.103611312
96.08044164,594.761337,103.984019,1.80934196,16.2934052,0.102044144
95.94164038,593.329308,104.03592,1.75864711,16.3309786,0.10082816
95.80252366,591.961607,99.33559,1.76934164,16.3993271,0.100859368
95.6511041,590.685281,94.63526,1.78003617,16.4676756,0.100866136
95.49211356,589.577085,88.579656,1.77991921,16.510366,0.100299128
95.33312303,588.704271,82.524783,1.77979494,16.5530564,0.099697904
95.17129338,588.036868,80.990414,1.77668819,16.5616091,0.099584352
95.00883281,587.669906,79.456776,1.77358144,16.5702349,0.099616688
94.8466877,587.493004,76.409237,1.78017506,16.5431148,0.100210768
94.62744479,587.499583,73.360967,1.78676137,16.5160678,0.100764992
94.40694006,587.662596,65.9117846,1.8330556,16.4932606,0.101741464
94.19747634,588.091693,58.4623098,1.87935714,16.4703803,0.102566784
94.04700315,588.719622,60.9757071,1.82163738,16.4858044,0.101019544
93.89652997,589.650185,63.4890313,1.76391762,16.5011554,0.099379432
93.75173502,590.787621,64.9136041,1.78652745,16.4779096,0.100170536
93.61766562,591.642891,66.3381769,1.80913728,16.4545907,0.101067672
93.48328076,592.224036,74.865365,1.80392525,16.4407017,0.10089396
93.34290221,592.624624,83.393211,1.79872053,16.4267396,0.100969536
93.19652997,592.733543,87.58111,1.80565772,16.4211109,0.10140344
93.05015773,591.226221,91.76974,1.81259491,16.4154091,0.10196932
92.89432177,587.999587,83.684149,1.86323128,16.3954528,0.103845184
92.73375394,583.025863,75.599289,1.91386034,16.3754965,0.105649608
92.57350158,576.793357,73.0209789,1.90309271,16.3976458,0.10442084
92.34479495,569.530141,70.4427419,1.89232508,16.4197951,0.102737488
92.10567823,561.143378,70.6243223,1.85543151,16.4866816,0.100102104
91.870347,552.164505,70.8058296,1.81853794,16.553495,0.097461832
91.71892744,543.918094,71.729375,1.7689469,16.7942133,0.093280712
91.56719243,536.909997,72.6529204,1.71934855,17.0349316,0.088511152
91.41955836,531.16653,77.151202,1.60371166,17.3069367,0.082095464
91.28580442,527.477173,81.649045,1.48807477,17.5789418,0.0758016
91.15205047,525.614585,81.80621,1.40356386,17.5152717,0.075550056
91.01829653,525.727159,81.963375,1.31905295,17.4515285,0.075204512
90.88422713,527.283458,82.547444,1.40257701,17.3070829,0.078203112
90.75047319,530.635093,83.130782,1.48610107,17.1626373,0.081158472
90.60473186,535.276943,89.575278,1.49580144,17.0646833,0.082398896
90.45078864,539.912214,96.019043,1.50550181,16.9668024,0.08383672
90.29684543,543.750695,95.296084,1.5396322,16.8388043,0.087761408
90.13690852,546.154954,94.573125,1.57376259,16.7108062,0.091596984
89.97539432,546.976598,95.156463,1.64801757,16.6744755,0.0939812
89.81388013,544.289442,95.740532,1.72227986,16.6382179,0.095623944
89.5873817,537.742606,93.145482,1.68246229,16.7045196,0.09379884
89.35646688,528.30832,90.550432,1.64264472,16.7708944,0.092060968
89.1340694,517.286302,90.596485,1.61647492,17.1725058,0.086082568
88.98328076,506.609316,90.642538,1.59029781,17.5741172,0.079766144
88.83217666,496.914794,88.64837,1.26250279,18.1716366,0.064270432
88.68611987,490.168395,86.653471,0.93470046,18.7690829,0.04841
88.55236593,488.294842,94.801197,0.91051898,18.8127236,0.047185368
88.41861199,491.272936,102.948923,0.8863375,18.8563643,0.04578552
88.28328076,498.128254,93.785838,0.97465692,18.3017546,0.056996336
88.14637224,508.958019,84.622753,1.06297634,17.7471449,0.06776084
88.00946372,521.829467,96.480304,1.33316125,17.2272577,0.08114268
87.85835962,535.333961,108.337855,1.60334616,16.7072974,0.092525704
87.69936909,547.505842,119.786777,1.73244807,16.6307617,0.097672392
87.54069401,557.739111,131.235699,1.86154267,16.554226,0.10257092
87.37886435,566.054967,127.529529,1.82316517,16.7956022,0.0990384
87.21640379,572.476802,123.822628,1.78478767,17.0369053,0.094588816
87.05394322,576.907393,112.937307,1.79834772,16.9461151,0.09586308
86.83091483,579.547034,102.051255,1.81190777,16.855398,0.096923024
86.60788644,581.803631,101.802715,1.79586963,16.7207478,0.098687592
86.39747634,583.562417,101.554906,1.77983149,16.5860245,0.10051984
86.24731861,585.430853,104.402882,1.81245602,16.5736706,0.101158664
86.09716088,586.597529,107.250858,1.84508055,16.5613898,0.101967064
85.95268139,587.039784,110.281584,1.84195187,16.5146789,0.103319536
85.81861199,586.725454,113.311579,1.83882319,16.467968,0.104704344
85.68454259,585.454976,115.182208,1.88606041,16.4807605,0.105813168
85.54511041,583.129665,117.053568,1.93329763,16.493553,0.106497864
85.40094637,579.866481,109.370758,1.8963602,16.5466967,0.104972808
85.25678233,576.008994,101.687217,1.85942277,16.5998404,0.103647408
85.10157729,572.366421,94.941549,1.80978787,16.7934823,0.099452
84.94132492,569.375169,88.19515,1.76015297,16.9871973,0.094927968
84.78107256,567.066671,89.027759,1.7049844,17.0197999,0.093152496
84.55646688,565.960668,89.859637,1.64980852,17.0524025,0.091026968
84.32334385,566.153652,90.529964,1.70678266,16.9122698,0.0943196
84.0977918,567.798402,91.19956,1.76374949,16.7721371,0.098137128
83.99716088,570.551348,83.819384,1.84086268,16.6727211,0.101417728
83.89684543,573.867895,76.439208,1.91796856,16.5733782,0.104188848
83.74069401,577.313829,77.10588,1.923992,16.50598,0.105851144
83.55362776,580.688856,77.771821,1.93000813,16.4385818,0.107541264
83.38359621,583.474697,87.074527,1.93244236,16.4575878,0.10757736
83.27223975,585.425005,96.376502,1.93486928,16.4765938,0.107347624
83.16056782,586.387001,105.129496,1.92131654,16.4378508,0.10667872
83.00157729,586.367995,113.88249,1.9077638,16.3991809,0.10593988
82.83123028,585.912582,107.772792,1.89060723,16.4506433,0.105216456
82.67760252,584.919884,101.662363,1.87345066,16.5021057,0.104398656
82.55078864,583.589464,90.796779,1.89937192,16.5221351,0.104855872
82.42397476,582.289746,79.931195,1.92529318,16.5420914,0.10512208
82.26750789,581.267808,79.967745,1.9248692,16.5433341,0.104900616
82.11009464,580.455667,80.005026,1.92445253,16.5445768,0.104614104
81.92807571,579.844551,77.390239,1.92157239,16.5638021,0.104552064
81.72681388,579.396448,74.774721,1.91869225,16.5830274,0.10443212
81.53974763,579.210774,73.733777,1.90098012,16.5818578,0.10374968
81.44164038,579.043375,72.6929792,1.88326799,16.5806882,0.103318784
81.34353312,578.525827,75.131449,1.81592827,16.5941386,0.101623776
81.18675079,577.715879,77.569334,1.74859586,16.607589,0.100013368
81.00725552,576.682245,78.784256,1.82671783,16.5494014,0.102364872
80.84637224,575.527265,79.999178,1.9048398,16.4912138,0.103985432
80.72870662,574.291144,81.056204,1.92091449,16.5723548,0.103199216
80.61072555,572.693909,82.112499,1.93699649,16.6534958,0.102383296
80.44826498,570.978983,86.51385,1.87994925,16.7601487,0.099376424
80.28044164,567.998696,90.915201,1.8228947,16.8667285,0.096031904
